isbn,title,author,translator,format,pages,publisher,published,year,votes,rating
9.79E+12,Boulder,Eva Baltasar,Nicole Amonville Alegra,paperback,112,Literatura Random House,8/2/2022,2023,2779,3.77
9.78E+12,Whale,Cheon Myeong-Kwan,Jae Won Chung,paperback,368,Europa Editions,1/19/2023,2023,175,3.97
9.78E+12,The Gospel According to the New World,Maryse Cond,Richard Philcox,paperback,184,World Editions,3/7/2023,2023,114,3.05
9.78E+12,Standing Heavy,Gauz,Frank Wynne,paperback,252,MacLehose Press,5/26/2022,2023,322,3.57
9.78E+12,Time Shelter,Georgi Gospodinov,Angela Rodel,hardcover,304,W&N,4/21/2022,2023,3142,4.05
9.78E+12,Is Mother Dead,Vigdis Hjorth,Charlotte Barslund,paperback,330,Verso Fiction,9/27/2022,2023,2455,3.76
9.78E+12,Jimi Hendrix Live in Lviv,Andrey Kurkov,Reuben Woolley,hardcover,416,MacLehose Press,4/27/2023,2023,167,3.64
9.78E+12,The Birthday Party,Laurent Mauvignier,Daniel Levin Becker,paperback,454,Transit Books,1/24/2023,2023,529,3.83
9.78E+12,While We Were Dreaming,Clemens Meyer,Katy Derbyshire,paperback,528,Fitzcarraldo Editions,3/30/2023,2023,705,4
9.78E+12,Pyre,Perumal Murugan,Aniruddhan Vasudevan,paperback,224,Pushkin Press,4/8/2022,2023,1302,4.04
9.78E+12,Still Born,Guadalupe Nettel,Rosalind Harvey,paperback,200,Fitzcarraldo Editions,6/22/2022,2023,7647,4.14
9.78E+12,A System So Magnificent It Is Blinding,Amanda Svensson,Nichola Smalley,paperback,544,Scribe UK,3/9/2023,2023,1401,3.62
9.78E+12,Ninth Building,Zou Jingzhi,Jeremy Tiang,paperback,272,Honford Star,5/16/2022,2023,40,3.78
9.78E+12,Paradais,Fernanda Melchor,Sophie Hughes,paperback,118,Fitzcarraldo Editions,3/23/2022,2022,8109,3.71
9.78E+12,Heaven,Mieko Kawakami,Sam Bett and David Boyd,paperback,167,Picador,5/12/2022,2022,26217,3.83
9.78E+12,Love in the Big City,Sang Young Park,Anton Hur,paperback,217,Tilted Axis Press,10/29/2021,2022,5156,3.69
9.78E+12,"Happy Stories, Mostly",Norman Erikson Pasaribu,Tiffany Tsao,paperback,151,Tilted Axis Press,12/2/2021,2022,872,3.8
9.78E+12,Elena Knows,Claudia Piaeiro,Frances Riddle,paperback,143,Charco Press,7/1/2021,2022,8212,4.1
9.78E+12,The Book of Mother,Violaine Huisman,Leslie Camhi,paperback,224,Scribner,9/19/2021,2022,1726,3.79
